title,authors,journal,volume,page,year
Antarctic inland waters,", R Heywood",,344,279-344,1984
Hydra and the tadpoles,S Hickson,"Nature, Lond",115,,1925
Moluscos marinos testáceos de Santander y de otros puntos de la provincia,J Hidalgo,"de la Real Academia de Ciencias Exactas, Fisica y Naturales de Madrid",2,313-330,1905
Proceedings of a scientific workshop hosted by the Bermuda Biological Station,H Hidu,,27,43-52,1983
"Deep-sea polychaete communities in the Northeast Pacific Ocean off the Gulf of the Farallones, California","Brigitte Hilbig, J Blake",Bulletin of Marine Science,78,377-388,2006
Die wichtigsten Ergebnisse der mikropaläontologischen Arbeiten von Nordwestdeutschland,H Hiltermann,Erdöl und Tektonik in Nordwestdeutschland,,326-334,1949
A biophysical NPZ model with iron for the Gulf of Alaska: Reproducing the differences between an oceanic HNLC ecosystem and a classical northern temperate shelf ecosystem,"S Hinckley, K Coyle, G Gibson, A Hermann, E Dobbins",Deep Sea Research Part II: Topical Studies in Oceanography,56,2520-2536,2009
"Synthesis of (±)-flustramine B, a marine alkaloid","T Hino, T Tanaka, K Matsuki, N Nakagawa",Chem. Pharm. Bull,31,1806-1808,1983
"Ostracodes from the Imo Formation (Mississippian, Chesterian) of North Central Arkansas","R D; Hoare, R Mapes",Paleontological Society Memoir No,52,1-23,2000
Anophryocephalus inuitorum sp.nov. and A . arcticensis sp.nov. (Eucestoda: Tetrabothriidae) in ringed seals ( Phoca hispida hispida ) and harp seals ( Phoca groenlandica ) from high-latitude seas of eastern Canada and the Arctic basin,"E Hoberg, L Measures",Journal of Zoology,73,34-44,1995
Verzeichnis der Strepsiptera und ihrer Wirte. Arbeiten über Physiologische u,"K Hofeneder, L Fulmek",Angewandte Entomologie Berlin-Dahlem,10,139-169,1943
First record of two seaweeds from the Israeli Mediterranean: <i>Galaxaura rugosa</i> (J. Ellis and Solander) J. V. Lamouroux (Rhodophyta) and <i>Codium adhaerens</i> C. Agardh (Chlorophyta),"R Hoffman, A Israel, Y Lipkin, Z Dubinsky, D Iluz",Journal of Plant Sciences,56,123-126,2008
Preparation of permanent whole mounts of marine centric diatoms to permit observations of cytoplasmic inclusions,R Holmes,Stain Technology,41,201-206,1966
Third international workshop on hydroid development,"T Holstein, C David",,,,1989
"Have most species already been, or will they never be discovered? (are optimists or pessimists)",R Holynski,Genus,24,261-273,2013
"Observations on the shell of the sea worm found on the coast of Sumatra , proving it to belong to a species of Teredo; with an account of the anatomy of the <i>Teredo navalis</i>",E Home,transactions of the Royal Society of London,96,12-13,1806
Div. I. Inarticulatae. In: The English Flora of Sir James Edward Smith,", W Hooker",,II,250-259,1833
Proceedings of the First International Conference on Meiorauna,W Hope,,76,33-36,1971
"The systematics, biogeography and conservation status of species in the freshwater crayfish genus Engaewa Riek (Decapoda : Parastacidae) from south-western Australia","P Horwitz, M Adams",Systematics,14,655-680,2000
"Eleventh Annual Field Trip, Guide Book",H Howe,,,1-52,1955
The living marine resources of the Eastern Central Atlantic,P Hulley,,,1929-1933,2016
Regeneration of Axons and Nerve Cell Bodies in the CNS of Annelids,"C Hulsebosch, G Bittner",Journal of Comparative Neurology,198,77-88,1981
"Ridgewayia fosshageni n. sp. (Copepoda; Calanoida) associated with an actiniarian in Panama, with observations on the nature of the association","A Humes, W Smith",Journal of Science,14,1-31,1974
Errata - Copépodes parasites de mollusques Madagascar,A Humes,<em>Mémoires de l'Institut Scientifique de Madagascar,4,,1961
"A complex of Transversotrematidae (Platyhelminthes: Digenea) associated with mullid fishes of the Indo-West Pacific Region, including the descriptions of four new species of Transversotrema",", J Hunter, K Hall, T Cribb",,3266,1-22,2012
Ökologische und verbreitungsgeschichtliche Studien über limnische Grundwassertiere aus dem küstlichen Mesopsammal der Helgoländer Düneninsel,S Husmann,Archiv für Hydrobiologie,58,1-2,1962
"Die Kieselalgen Deutschlands, Österreichs und der Schweiz unter Berücksichtigung der übrigen Länder Europas sowie der angrenzenden Meeresgebiete",F Hustedt,Akademische Verlagsgesellschaft m.b.h. Leipzig,,881-1008,1933
The Amphitritinae (Polychaeta: Terebellidae) from Australia. <em>Records of the Australian Museum,", Patricia Hutchings, Christopher Glasby",,40,1-60,1988
A proposal for a check-list of characteristics to be used in the descriptions of palaeonemertean species,R Hylbom,Hydrobiologia,266,169-174,1993
Planktonic foraminifers off Costa Rica in the East Pacific Ocean - Biostratigraphic and chronostratigraphic analysis,M Ibaraki,Proceedings Of The Ocean Drilling Program - Scientific Results,170,1-58,2001
"Campanularia noliformis McCrady, 1859 (currently Clytia noliformis; Cnidaria, Hydrozoa): specific name conserved by the designation of a neotype",,Bulletin of zoological nomenclature,59,,1986
The character states of the Caribbean monotypic endemic Strumpfia (Rubiaceae),A Igersheim,Journal of Botany,13,545-559,1993
,,Ill. Fl. N. U.S,2,,1913
Trudy 5. vsesoyuznogo simpoziuma po korallam i rifam,T Ilyina,,,220-221,1983
The Bornean cyprinoid fishes of the genus Gastromyzon Günther,", R Inger, P Chin",,,166-176,1961
"Benthic Motile Scavengers from E-N2, a Site Near the Hatteras Abyssal Plain","C Ingram, R Hessler",A Report Submitted to Knolls Atomic Power Laboratory,11,,1984
"Les Himantariidae ouest-européens, avec la description d'une nouvelle espèce du genre Stigmatogaster Latzel, 1880 (Chilopoda, Geophilomorpha)",E Iorio,de la Société entomologique de France,126,133-158,2021
Ueber das Vorkommen der Planaria alpina Dana in Kurland,G Ischreyt,Arch Hydrobiol,18,129-132,1927
"Rugozy i stromatoporoidei paleozoya SSSR. Trudy 2. Vsesoyuznogo simpoziuma po izucheniyu iskopaemykh korallov SSSR, 2. [Paleozoic Rugosa and Stromatoporoidea of the USSR. Papers of 2. All-Union Symposium on fossil corals of the USSR",A Ivanovskiy,"Institut Geologii i Geofiziki AN SSSR, Sibirskoe Otdelenie",,,1971
Molecular evolutionary relationships of the octopodid genus Thaumeledone (Cephalopoda: Octopodidae) from the Southern Ocean,"J Strugnell, M Collins, A Allcock",Antarctic Science,,,
"The importance of predation by the macroinvertebrate Graphoderus liberus (Coleoptera: Dytiscidae), on crustacean zooplankton",", A Jackson",,,,2005
Role of boring orgamisms in the coral reefs of the Bermuda Platform,Noel James,Special Publication of the Bermuda Biological Station for Research,6,19-27,1970
"Nematodes from West Bengal (India). XIII. Dorylaimus innovatus sp. n., Thonus confusus sp. n. and Indokochinema ekramullahi sp. n. (Dorylaimoidea)","A Jana, Q Baqri",Journal of Nematology,12,263-271,1982
Sea lice as a density-dependent constraint to salmonid farming,"P Jansen, A Kristoffersen, H Viljugrein, D Jimenez, M Aldrin, A Stien",Of The Royal Society B-Biological Sciences,279,2330-2338,2012
Report on the Advanced Science Seminar on Marine Organism-Sediment Interrelationships,J Janssen,,,,1967-07-24
"A new species of freshwater anomuran crab of the genus Aegla Leach, 1821 (Crustacea: Decapoda: Aeglidae) from the Nahuelbuta Coastal Range, Chile. <em>Proceedings of the Biological Society of Washington",", Carlos Jara, Marcos Pérez-Losada, Keith Crandall",,116,954-963,2003
Observations sur des Echinides sculptés de la Gironde,A Jeannet,Eclogae Geologicae Helvetiae,28,559-560,1935
Night of the giant ammonites,K Johnson,Natural History,7,14-17,1999
Part 2] Art. XXXVI Contributions to the British Fauna. [Continued from p.181,George Johnston,Zoological Journal,3,321-336,1827
Cnidarian neurobiology,R Josephson,Coelenterate Biology. Reviews and new perspectives,,245-280,1974
Céphalopodes d'Amboine,L Joubin,Suisse de Zoologie et Annales du Musée d'Historie Naturelle le Genèva,2,23-64,1894
Contribution to the knowledge on Meotian and Pontian of the locality of Kusjak near Negotin (East Serbia),"Gordana Jovanovic, J Jovanovic",Glasnik Prirodnjackog Muzeja u Beogradu Serija A Geoloshke Nauke,,205-216,1992
"Lower Sinemurian - upper Pliensbachian smaller agglutinated foraminiferal events from the eastern part of the Pieniny Klippen Belt (Transcarpathian Ukraine, Western Carpathians)","Š Józsa, J Schlögl, Ch Meister, M Golej",Micropaleontology,64,493-505,2018
"Muvi schmallenbergi gen. nov., sp. nov. (Crustacea, Tanaidacea) from the southeast Australian coast, with comments on the distribution and habitat preferences of Chondropodinae",", P Jóźwiak, M Błażewicz",,,,2021
"Heterosymelies et anomalies de la segmentation chez Scutigerella silvatica (Symphyle, Myriapode)",L Juberthie-Jupeau,Bulletin de la Société Zoologique de France,90,405-415,1965
"Chromosomal Features of the Endemic Pill Millipedes (Arthrosphaera: Sphaerotheriidae, Diplopoda) from Western Ghats, India","Bombrana Kadamannaya, ; Seetharama, Kanale Sreepada, ; Sreenivasa, Kandikere Sridhar",Cytologia,75,467-475,2010
Paleocene Foraminifera from Koppet-Dagh region (NE Iran),A Kalantari,Española de Micropaleontología,15,297-316,1983
"Spatial and temporal variation of zooplankton assemblage in the mining-impacted stretch of Ganga River, Uttarakhand, India","V Kamboj, N Kamboj",<em>Environmental Science And Pollution Research,27,,2020
Effect of temperature and food availability on the clutch size of Diaptomus clavipes Schacht,", D Kamps",,,,1979
"A Revision of the Macraster species (Echinodermata, Echinoidea) occurring in the Albian deposits of the Zagros basin, Southwest Iran","H Kamyabi Shadan, L Villier, A Sadeghi, M Adabi",<em>Annales de Paléontologie,100,51-62,2014
"Distribution of plankton related to the mesoscale physical structure within the surface mixed layer in the southwestern East Sea, Korea","J Kang, W Kim, K Chang, J Noh",<em>Journal of Plankton Research,26,1515-1528,2004
"Validation of Dinobryon korschikovii Matvienko (Dinobryaceae, Chrysophyceae)",D Kapustin,algarum,104,1-2,2019
Concordance between molecular and morphology-based phylogenies of Korean Enhydrosoma (Copepoda: Harpacticoida: Cletodidae) highlights important synapomorphies and homoplasies in this genus globally,"T Karanovic, K Kim, & Lee",Zootaxa,,451-496,2015
On nematocysts and similar structures in turbellarians,T Karling,Act Zool Fenn,116,1-28,1966
"The toxicity of copper, cadmium and zinc to four different Hydra (Cnidaria, Hydrozoa)","W Karntanut, D Pascoe",Chemosphere,47,1059-1064,2002
Die Erycinen des niederösterreichischen Miocaen,F Kautsky,des Naturhistorischen Museums in Wien,50,19-22,1940
Precocious clasping of early copepodite stages: a common occurrence in Zausodes arenicolus Wilson (Copepoda; Harpacticoida),"J Kern, N Edwards, S Bell",Journal of Crustacean Biology,4,3-1984,1984
A field guide to the land snails of Britain and North-west Europe,", M Kerney, R Cameron",,288,,1979
Ostracods of the family Aechminidae from the Arkona Shale of Southern Ontario,R Kesling,Contrib.Mus.Paleont.Univ.Michigan,11,1-10,1953
"Do brominated natural products defend marine worms from consumers? Some do, most don't","Cynthia Kicklighter, Julia Kubanek, Mark Hay",Limnology and Oceanography,49,430-441,2004
The biology of the surface zone zooplankton of a boreo-arctic Atlantic Ocean area,W Kielhorn,of the Fisheries Research Board of Canada,9,1-4,1952
"Weitere Hämagglutinin-Untersuchungen bei Landlungenschnecken (Hämagglutinintests an vier weiteren Arten, Biotopvergleiche mit schon untersuchten Arten und Tests an Organen von Helix pomatia Linnaeus)","R Kilias, S Schnitzler, H Kothbauer, D Stober, O Prokop",Zeitschrift für Immunitätsforschung,144,157-166,1972
Proposal to transfer Flavobacterium oceanosedimentum Carty and Litchfield 1978 to the genus Curtobacterium as Curtobacterium oceanosedimentum comb,"B Kim, O.-S Kim, E Moon, J Chun",nov. <em>FEMS Microbiol. Lett,296,137-141,2009
Redescription of Ergasilus zacconis (Copepoda : Poesilostomatoida : Ergasilidae) parasitic on the freshwater fish Zacco platypus from Japan,"I Kim, K Nagasawa",Korean Journal of Systematic Zoology,22,121-125,2006
World Association of Copepodologists: Fourth International Conference on Copepoda,I Kim,,,,1990-09
Project No. 203 of the International Geological Correlation Programme,A Kiseleva,,,48-56,1986
Donne biotsenozi i ioschnogo berega Krima,M Kiseleva,Trudy Sevastopol Biol.Sta.Akad.Nauk Ukr.SSR,16,176-191,1963
Die Entstehung des Annelides aus der Larve von Lopadorhynchus,N Kleinenberg,Zeitschrift für wissenschaftliche Zoologie,44,,1886
Über eine neue Brackwasserart der Harpacticoidengattung Amphiascus,W Klie,<em>Archiv für Hydrobiologie,14,26-1923,1923
Entomostracen aus dem Süß- und Brackwasser von Helgoland,W Klie,Schriften des Vereins f.Naturkunde an der Unterweser N.F,,1-7,1934
Ein weiterer neuer Harnischwels aus dem Rio Guaporé: Lasiancistrus guapore n. sp,J Knaack,<em>Aquaristik aktuell (Germany),8,56-61,2000
Tanning cell in a thecate hydroid Campanularia flexuosa,D Knight,Proc. Challenger Soc,4,60-61,1970
"Oreichthys andrewi (Teleostei: Cyprinidae) a new species from Assam, northeastern India. <em>Journal of Threatened Taxa",", J Knight",,6,5357-5361,2014
"The ecology of freshwater zooplankton in the Hawkesbury-Nepean River, with special reference to community structure and grazing",", T Kobayashi",,,,1998
Zur Fauna Italiens. II: Die Campylaeen Oberitaliens,W Kobelt,<em>Jahrbücher der Deutschen Malakozoologischen Gesellschaft,,192-213,1875
"Peristomatic structures in Scutigeromorpha (Chilopoda): a comparative study, with new characters for higher-level systematics","M Koch, G Edgecombe",Zoomorphology,125,187-207,2006
On the Structure of Ctenoplana,T Komai,"<em>Memoirs of the College of Science, Kyoto Imperial University",9,245-256,1934
The homology of the notochord found in pterobranchs and enteropneusts,Taku Komai,American Naturalist,85,270-271,1951
"The Weddell Sea. This Antarctic mammal can swin under the ice for more than an hour without coming up for air. How is its able to find its way back to its breathing hole, particularly during the long Antarctic night?",G Kooyman,Scientific American,2,101-103,1969
Capture d'Underwoodia iuloides (Diplopoda: Chordeumatida: Caseyidae) dans le nord du Quebec,S Koponen,Fabreries,28,,2003
"Das larvale Nervensystem von Pectinaria Lamarck und Nephthys Cuvier (Annelida, Polychaeta)",Hermann Korn,"Zoologische Jahrbücher, Abteilung für Anatomie und Ontogenie der Tiere",78,427-456,1960
"Description of <em>Eusarsiella tampa</em>, a new species from Tampa Bay (Gulf of Mexico), Florida (Crustacea: Ostracoda; Myodocopina: Sarsiellidae)","L Kornicker, S Grabe",of the Biological Society of Washington,113,61-669,2000
A new African lineage of the Daphnia obtusa group (Cladocera: Daphniidae) disrupts continental vicariance patterns,"A Kotov, D Taylor",of Plankton Research,32,937-949,2010
The new genus Jouserella (Bacillariophyceae) from Miocene sediments of the central Russia,"T Kozyrenko, N Strelnikova",<em>Botanicheskii Zhurnal,97,92-98,2012
Beitrag zur kenntnis der olstracodenfauna in silurischen Diluvialgeschieben,A Krause,<em>Zeitschrift der Deutschen Geologischen Gesellschaft,43,488-521,1891
"In Hydra magnipapillata the activator of protein kinase C diC8 causes multiple head formation along the body axis only when accompanied by feeding, but heavy feeding alone is sufficient to cause multiple head formation",M Kroiher,Int. J. Dev. Biol,43,817-821,1999
Trematodes of marine fishes from South Australia. 3. Lepocreadium angelae sp. n. (Lepocreadiidae),G Kruse,of the Helminthological Society of Washington,48,195-197,1981
North-western Black Sea: biology and ecology,"I Kulakova, L Garlitska, M Gelmbolt, O Torgonskaya",,,595-602,2006
"Puntius padamya, a new species of cyprinid fish from Myanmar (Teleostei: Cyprinidae)","S Kullander, R Britz",Journal of Ichthyology,2,56-66,2008
"Bionomics, structure and development of Caligus russellii sp. nov., parasitic copepod on the scorpion fish Pterois russellii (Van Hass)",C Kurian,"the Central Research Institute, University of Travancore, Trivandrum",,1-3,1950
Morphological Studies on Spermatozoon in Uterus of Ascaris suum,"T Kuwahara, S Tomita",Japanese Journal of Parasitology,23,35-36,1974
<i>Wetenschappelijke Mededeling KNNV<,A Lacourt,,,,1978
Microtexture du test des Textularidae,E Lacroix,de l'Institut Océanographique,582,1-18,1931
"Embryonic Muscle Development of Convoluta pulchra (Turbellaria-Acoelomorpha, Platylminthes)","P Ladurner, R Rieger",Developmental Biology,222,359-375,2000
Lignée évolutive chez les Didemnidae des côtes de France. Valeur systématique des spicules,"F Lafargue, L Laubier",Annls Inst. océanogr,56,21-44,1980
The freshwater Calanoida (Crustacea: Copepoda) of Thailand,"H Lai, C Fernando",Hydrobiologia,76,1-92,1981-05
Un parasite de la moule: le Mytilicola intestinalis ou Cop rouge. <em>Rapport de Mission,L Lambert,Office Scientifique et Technique des Pêches Maritimes,29,444-447,1950
"The distribution of the invertebrates in the Dybsoe Fjord, theirbiology and their importance as fish food",K Larsen,Reports of the Danish Biological Station,41,3-36,1936
"Zooplankton assemblages in montane lakes and ponds of Mount Rainier National Park, Washington State, USA","G Larson, R Hoffman, C Mcintire, G Lienkaemper, B Samora",Journal of Plankton Research,31,273-285,2009
Revisiting metazoan phylogeny with genomic sampling of all phyla,"C Laumer, R Fernández, S Lemer, D Combosch, K Kocot, A Riesgo, S Andrade, W Sterrer, M Sørensen, G Giribet",of the Royal Society B: Biological Sciences,286,1-10,2019
Beiträge zur Rotatorienfauna des Rheins und seiner Altwasser,R Lauterborn,"Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere",7,,1893
Déscription de plusieurs animaux appartenant aux polypiers lamelliféres de M. le Chev. de Lamarck,Le Sueur,Memoires du Museum National d' Histoire Naturelle,6,271-298,1821
Additions à la liste des Invertébrés benthiques recueillis dans le golfe Saint-Laurent (Baie des Chaleurs). <em>Direction des Pêches,M Ledoyer,"Service de Biologie, Rapport Annuel",,37-43,1969
Flora en fauna van de zee [Marine flora and fauna,", R Leewis",,16,,2002
Prey selection by the larvae of three species of littoral fishes on natural zooplankton assemblages,"M Lehtiniemi, T Hakala, S Saesmaa, M Viitasalo",Aquatic Ecology,41,85-94,2007
Field and laboratory studies of Daphnia schoedleri Sars from a winterkill lake of Alberta,"C Lei, H Clifford","of Zoology, Natioanl Museum of Canada",9,1-39,1974
An account of some Helminths contained in Dr. C. M. Wenyon's Collection from the Soudan,R Leiper,Wellcome Research Laboratories Khartoum,3,186-199,1908
"Vanadate, known to interfere with signal transduction, induces metamorphosis in Hydractinia (Coelenterata; Hydrozoa) and causes profound alterations of the larval and postmetamorphic body pattern","T Leitz, A Wirth",Differentiation,47,119-128,1991
On the mechanism of action and evolution of receptors associated with feeding and digestion,H Lenhoff,Coelenterate Biology. Reviews and new perspectives,,211-243,1974
Cycle de deux Diaptomidae communs dans les dayas de la Mamora,L Lépiney,Bulletin de la Société des Sciences Naturelles et Physiques du Maroc,39,1-2,1959
Untersuchungen zur Ecdysteroid-Biosynthese durch das Lympfstrang-Gewebe von Lithobius forficatus (L.) (Chilopoda),F Leubert,"Wissenschaftliche Zeitschrift der Pädagogischen Hochschule Dr. Theodor Neubauer, Mathematisch-naturwissenschaftliche Reihe",22,73-77,1986
Demographic consequences of larval development mode: Planktotrophy vs. lecithotrophy in Streblospio benedicti,"L Levin, H Caswell, K Depatra, E Creed",Ecology,68,1877-1886,1987
"The taxonomy, distribution and ecology of centipedes of the genus Asanada (Scolopendromorpha: Scolopendridae) in Nigeria",J Lewis,Zoological Journal of the Linnean Society,52,97-112,1973
Biological data on British centipedes recorded in his notebook by J. Gordon Blower beteween [between] 1948 and 1975,J Lewis,Bulletin of the British Myriapod and Isopod Group,20,7-12,2004
Physical and biological controls on Calanus finmarchicus in the Georges Bank Region: an adjoint data assimilation approach,"X Li, D Mcgillicuddy","EOS Transactions, American Geophysical Union",84,22K-22,2003
The emendation of diagnosis of the land snails <i>Nanxiongospira</i> and <i>Undatornatus</i>,Y.-T Li,Papers of Stratigraphy and Palaeontology,20,155-160,1988
"Synotis panzhouensis (Asteraceae, Senecioneae), a distinct new species with red-purple pappus from southwestern Guizhou, China",", Z Li, H.-L Zheng, M Tang",,166,79-86,2020
Das Teichplankton in der Umgebung von Darmstadt nach ununterbrochenen Beobachtungen in den Jahren 1908 bis 1916,T List,Zeitschrift für Fischerei,19,1-16,1917
"A New Aerophilic <em>Neidium</em> Pfister (Neidiaceae, Bacillariophyta) species from Guangxi Zhuang Autonomous Region, China",", Y Liu, J Kociolek, Q Liu, X Tan, Y Fan",,432,171-180,2020
The life of a diatom,S Lockwood,Journal of the New York Microscopical Society,2,135-142,1886
Über einige faunistische Ergebnisse der Deutschen Südpolar-Expedition unter besonderer Berücksichtigung der Meeresmilben,H Lohmann,<em>Schr. naturw. Ver. Schlesw.-Holst,14,1-14,1907
"A növényvédelmi állattan kézikönyve, I",", I Loksa",,,183-187,1988
"Paracerceis dollfusi n. sp. di crostaceo isopods (Sphaeromatidae, Eubranchiatae) del Senegal",C Lombardo,Animalia,12,153-163,1985
Proposal for a testing protocol of insecticides against the copepod crustacean Mesocyclops aspericornis Daday 1906,"S Loncke, A Failloux, Y Séchan",Bulletin de la Société de Pathologie Exotique,83,406-407,1990
Two new silurids from lower Congo,E Lönnberg,<em>Annals and Magazine of Natural History,9,619-621,1924
"Food web interactions in the plankton of Long Island bays, with preliminary observations on brown tide effects","D Lonsdale, E Cosper, W Kim, M Doall, A Divadeenam, S Jónasdóttir",Marine Ecology Progress Series,143,25-1996,1996
Uber den Bau einiger anscheinend seltner Trematoden-Arten,A Looss,Jahrbücher,15,323-366,1912
Cold-Water Corals and Ecosystems,"López Correa, M Freiwald, A Hall-Spencer, J Taviani",,,173-205,2005
"Smittina oblita sp. nov., a new cheilostomatous bryozoan from the southwest Atlantic",López Gappa,"Revista del Museo Argentino de Ciencias Naturales, n.s",4,187-190,2002
An Introductory guide to the Neogene and Quaternary of East Anglia for Ostracod Workers,", A Lord, D Horne, J Robinson",,,1-11,1988
A new subspecies of <i>Purpuradusta minoridens</i> from the Indian Ocean (Gastropoda: Cypraeidae),F Lorenz,Conchyliorum,16,83-86,2017
of 1990-1991 and 1991-1992,L Loureiro-Fernandes,,,,1996
Dredging off San Pedro,H Lowe,Nautilus,13,27-30,1899
"A small collection of Entomostraca from Uganda, collected by Mr. G.L.R. Hancock",A Lowndes,the Zoological Society of London,,,1931
Die von G. Chierchia auf der Fahrt der Kgl. Ital. Corvette “Vettor Pisani” gesammelten Holothurien,H Ludwig,"Jahrbücher. Zeitschrift für Systematik, Geographie und Biologie der Thiere",,I-II,1886
Melosira islandica and M. granulata in the Scanian Lake Ringsjön,A Lundh-Almestrand,Svensk Botanisk Tidskrift,48,591-595,1954
"Rugose Korallen aus der Curten-Formation (Givetium) der Sotenicher Mulde (Rheinisches Schiefergebirge, Nord-Eifel)","B.-P Lutte, K Oekentorp",N. Jb. Palaeont. Abh,176,213-243,1988
"Multi linear Regression among the Zooplankton Community Counts, Water Quality Parameters and Nutrients Input under Biofloc System Conditions","R Mabroke, A Eid, O El-Husseiny, M Hegab, A Suloma",Journal of Aquatic Biology & Fisheries,25,527-539,2021
"The Crustacea, Amphipoda, of Belfast and Strangford Lochs",Mac Donald,"Annals and Magazine of Natural History, series",12,280-288,1951
Use of the PISCES IV submersible for zooplankton studies in coastal waters of British Columbia,"G Mackie, C Mills",Can. J. Fish. Aquat. Sci,40,763-776,1983
Central circuitry in the jellyfish Aglantha digitale. I. The relay system,"G Mackie, R Meech",J. exp. Biol,198,2261-2270,1995
The surface wind in Bermuda,W Macky,"Bermuda Meteorological Office, Hamilton. Tech. Note",7,,1956
Maastrichtian foraminiferal and paleoceanographic changes on Milankovitch timescales,"K Macleod, B Huber, T Pletch, U Röhl, M Kucera",Paleoceanography,16,133-154,2001
Histoire naturelle des insectes : Diptères / par M. Macquart,", J Macquart",,,,1834
"Bairdiidae (Ostracoda) of Nosy Be, Madagascar",Rosalie Maddocks,Mitteilungen aus dem Hamburgischen Zoologischen Museum und Institut,92,197-236,1995
Status and strategy of zooplankton of tropical Indian estuaries: a review,M Madhupratap,Bulletin of Plankton Society of Japan,34,65-81,1987
Changes in the structure and quantitative data of zooplankton in lakes with increased trophic levels,", E Makartseva",,312,221-241,1988
Descrizione di alcuni foraminiferi nuovi del Tortoniano di Montegibio (Modenese),M Malagoli,della Società dei Naturalisti di Modena,,1-6,1888
I miriapodi italiani (III. contributo). Miriapodi del Parco Nazionale del Gran Paradiso,P Manfredi,Bollettino del musei di zoologia e di anatomia comparata della Reale Università di Torino,46,3-23,1937
"Seasonal variation in population density of zooplankton in the lower reaches of Diyala River, Baghdad-Iraq","H Mangalo, M H; Akbar",Journal of Biological Sciences Research,17,99-114,1986
Three new stomatopod crustaceans of the family Lysiosquillidae from the eastern Pacific region,R Manning,Proc. biol. Soc. Wash,84,271-278,1972
"The Medals of Creation; or, First Lessons in Geology and in the Study of Organic Remains",", G Mantell",,1,,1016
"Some Cambrian monoplacophorans from Taijiang, Guizhou","J Mao, ] -R. [jiaren, Y.-L Zhao, ] Yuanlong, Y.-Z Huang",Micropalaeontologica Sinica,10,99-104,1993
Mémoires pour servir à l'histoire naturelle de la Sicile,", C Maravigna",,86,,1838
Primo contributo allo studio dei gastrorichi del lago-stagno craterico di Astroni,I Marcolongo,Monitore Zoologico Italiano,21,315-318,1910
"Novy vid glubokovodnogo roda Batheuchaeta (Copepoda, Calanoida). A new species of the abyssal genus Batheuchaeta (Copepoda, Calanoida)",E Markhaseva,Zoologicheskii Zhurnal,62,20-1983,1983
Marine palynomorphs dominated by heterotrophic organism remains in the tropical coastal shallow-water sediment; the case of Selangor coast and the estuary of the Manjung River in Malaysia,"K Matsuoka, T Yurimoto, V Chong, A Man",Paleontological Research,21,14-26,2017
A process approach to diagenesis of reefs and reef associated limestones,R Matthews,SEPM Special Publication,18,234-256,1974
Aktivitäten von Enzymen des Kohlenhydrat- Stoffwechsels und der Na+-K+-ATPase im Zuge der Embryonalentwicklung und Metamorphose von Hydractinia echinata (Hydrozoa),"G May, W Müller",Wilhelm Roux Arch. dev. Biol,177,235-254,1975
Description de coquilles fossiles des terrains tertiaires supérieurs (suite),C Mayer,<em>Journal de Conchyliologie,23,66-67,1875
On budding in animals,W Mc Intosh,Hull & Lond,43,1-21,1905
"Oceanic palaeoenvironment of the Miocene Fyansford Formation from Fossil Beach, near Mornington, Victoria, interpreted on the basis of Ostracoda","K Mckenzie, J Peypouquet",Alcheringa,8,291-303,1984
Comparative Morphology of Recent Crustacea,P Mclaughlin,,,79-84,1980
"Some late Pleistocene diatoms of the Kenai Peninsula, Alaska","R Mclaughlin, J Stone",Nova Hedwigia,82,5-118,1986
The ecology of a central West Indian beach with particular reference to Donax incarnatus,"D Mclusky, S Nair, A Stirling, R Bharoava",Marine Biology,30,267-276,1975
"Echinolampas laubei (Echinoidea), a replacement name for Echinolampas duncani McNamara",K Mcnamara,Journal of Paleontology,63,,1987
"Molecular evidence confirms sister relationship of Ardissonea, Climacosphenia, and Toxarium within the bipolar centric diatoms (Bacillariophyta, Mediophyceae), and cladistic analyses confirm that extremely elongated shape has arisen twice in the diatoms","L Medlin, S Sato, D Mann, W Kooistra",of Phycology,44,1340-1348,2008
Natural Environment Research Council,"L Medlin, G Hasle",,,159-168,1990
Proceedings of a symposium held at the Palace of Academies,"P Meire, J Coosen",,,292-303,1985-03-05
A new Empidid Fly in Hawaii,A Melander,Haw. Ent. Soc,10,,1938
Osservazioni sull'ordine delle Sertulariee della classe dei Polipi,G Meneghini,Memorie R. Ist. veneto Sci,2,183-199,1845
Handbook on the common marine isopod Crustacea of Georgia,", R Menzies, D Frankenberg",,,,1966
Seasonal fluctuation in the population of two common trematode species from the stomach of the cod,", F Meskal",,26,13-20,1967
"The genitalia of male Syrphidae - their morphology, with especial reference to its taxonomic significance",C Metcalf,Annals of the Entomological Society of America,14,169-214,1921
The neural gland of Cynthia papillosa,M Metcalf,Anat. Anzeig,14,467-470,1898
"Die Fauna des miocänen Glimmertons von Kummer, Hohenwoos und Boekup",A Metzmacher,Archiv des Vereins der Freunde der Naturgeschichte in Mecklenburg,57,166-181,1903
Significance of zooplankton for cryo-pelago-benthic coupling in the Southern Ocean,", J Michels, J Els",,,,2008
Some critical notes on the <i>Neritopsis</i> species living in the Red Sea,", H Mienis",,37,6-11,2018
New species of trematodes from fishes in Azerbaijan,T Mikailov,<em>Parazitologicheskii Sbornik,24,188-190,1969
