title,authors,journal,volume,page,year
"Novye vidy garpaktitsidnykh kopepod - parasitov os'minigov severo-zapadno chasti Tikhogo okeana. New species of harpacticoid copepods, parasites of octopuses in the north-western Pacific",G Avdeev,Parazitologiya,16,,1982
Der Turbellarien des Eulitorals der Kieler Bucht,P Ax,"Jahrbucherabteilung fur Systematik, Geographie und Biologie de Tierre",80,277-378,1951
A new squat lobster (Crustacea: Decapoda: Anomura: Chirostylidae) from off NW Spain,", K Baba, E Macpherson",,3224,49-56,2012
Mikrofauna und Stratigraphie der Unterkreide im Gebiet des Kleinen Fallsteins bei Osterwieck,Ilse Bach,Geologie,14,,1965
Selectividad en muestreos de zooplancton en el Lago Rapel,"N Bahamonde, R Ruiz",Noticiario Mensual del Museo Nacional de Historia Natural,25,1-2,1981
"Pseudoalteromonas ganghwensis sp. nov., isolated from sea water",", K Baik, J S; Chun",,,,2005
Acute and chronic toxicity of the rice herbicides Thiobencarb and Molinate to opossum shrimp (Neomysis mercedis),H Bailey,Marine Environmental Research,36,197-215,1993
The type of <i>Polyplex</i> Perry,J Baily,Nautilus,74,28-31,1960
Outlines of general zoology,S Baird,,,197-243,1851
Ecological and parasitological characteristics of the small redfish Sebastes viviparus (Pisces: Scorpaenidae),Y Bakay,St. Petersburg),50,345-356,2016
A new class of echinodermata from New Zealand,"A Baker, F Rowe, H Clark",Nature,321,862-864,1986
Di alcuni Spongiarii del Golfo di Napoli,G Balsamo Crivelli,<em>Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale,5,1-19,1863
Ostasiatische Stomatopoden. - Abh. bayer,H Balss,Akad. Wiss,2,1-11,1910
Über eine neue Pontoniide aus dem Golf von Neapel,H Balss,della Stazione Zoologica di Napoli,22,523-526,1921
Respiration and excretion rates of Calanus glacialis in arctic waters of the Barents Sea,"U Bamstedt, K Tande",Marine Biology,87,1-5,1985
"Contributions to the knowledge of the alpheid shrimp of the Pacific Ocean. Part XVI. A new shrimp of the genus <i>Synalpheus</i> (Decapoda, Alpheidae) from Palau","A Banner, D Banner",<em>Micronesica,8,137-139,1972
Givetian Stringocephalid brachiopods from eastern Yunnan of Southwest China with notes on global distribution of the family Stringocephalidae,", V Baranov, L Qiao, R Blodgett",,30,44-61,2021
"The generic names Australorbis, Biomphalaria, Platytaphius, Taphius and Tropicorbis (Mollusca, Planorbidae)","F Barbosa, B Hubendick, E Malek, C Wright",<em>Journal of Natural History Series,13,371-375,1961
"The use of integumental pore signature in the characterisation of species of the genus Thermocyclops Kiefer, 1927: The case of Thermocyclops emini (Mrazek, 1895) (Crustacea: Copepoda: Cyclopoida)","D Baribwegure, H Dumont",Belgian Journal of Zoology,129,187-199,1999
Hydrophanous periostracum on Philippine land shells,J Barnett,Papustyla,,,1993-05
"Tortaguttus, a new unilocular foraminiferal genus","R Barrick, A Beverage, R Patterson, J Schubert",Studies in Geology and Paleontology,22,65-67,1989
The genus Halimeda,E Barton,Expeditie Monographe LX,,1-32,1901
"A high-speed, opening-closing plankton sampler (Catcher II) and its electrical accessories","B Bary, E Mck",Deep-Sea Research,17,1-4,1970
"Miocene ostracods of the southern Mediterranean: a first record from Wadi Um Ashtan, Mersa Matruh, Western Desert Egypt","Mohamed A; Bassiouni, M Ashraf",Neues Jahrbuch für Geologie und Palaeontologie.Monatshefte,8,449-466,2000
The distribution of living (stained) benthic foraminifera in Iskundrun Bay (Eastern Turkey): a statistical approach,"D Basso, S Spezzaferri",Bolletino della Societa Paleontologica Italiana,39,359-379,2000
Stratigraphy and paleontology of an occurrence of diatomaceous earth in Nebraska,"J Bates, G Biemesderfer",Journal of Paleontology,34,759-761,1960
"Permian gastropods and chitons from Perak, Malaysia. Part 1, Chitons, bellerophontids, euomphalids and pleurotomarians",R Batten,of the American Museum of Natural History,147,1-44,1972
Scientific results of explorations by the U. S. Fish Commission steamer Albatross. No. VIII. Description of a new cottoid fish from British Columbia,T Bean,the United States National Museum,12,641-642,1890
"The genus Eurycercus Baird, 1843 (Cladocera: Eurycercidae) in the Neotropics","E Bekker, A Kotov, L Elmoor-Loureiro",<em>Journal of Natural History,44,2481-2508,2010
"The Free-Living Nematodes Oncholaimium paraolium Sp N and Viscosia stenostoma Platonova, 1971 from the Sea of Japan (Svobodnozhivushchie Nematody - Oncholaimium paraolium Sp. N. i Viscosoma Stenosoma Platonova, 1971 iz Iaponskogo Moria)","O Belogurov, N Fadeeva",Biologiia Morya,2,38-44,1980
"Atrioplanaria morisii n. sp., a new cave planarian from Italy","M Benazzi, N Gourbault",Boll Zool,44,327-335,1977
"Le genre <i>Moitessieria</i> Bgt, 1863 en France: Révision, inventaire et description de <i>M. corsica</i> n. sp. (Mollusca Gasteropoda Prosobranchia Hydrobiidae)",R Bernasconi,<em>Mémoires de Biospéologie,21,7-20,1994
Distinguishing live from dead foraminifera: Methods review and proper application,J Bernhard,"Micropaleontology, Supplement",46,38-46,2000
Spatial and temporal growth patterns in colonial organisms,N Berrill,Third Growth Symposium,5,89-111,1941
"Liste des foraminifères recueillis dans la baie de Bourgneuf et à Pornichet, suivie de la traduction des Renseignements sur la manière de récolter les microzoaires marins publiés",G Berthelin,académique de Nantes du départment de la Loire-Inférieure,5,203-255,1878
Mesopredator-mediated trophic cascade can break persistent phytoplankton blooms in coastal waters,", M Berthold, R Schumann, V Reiff, R Wulff, H Schubert",,,1-16,2023
"Riffkorallen im Norddeutschen Oberjura - Taxonomie, Oekologie, Verteilung",M Bertling,"Palaeontographica, A",226,77-123,1993
"Some late Pleistocene and Recent ostracoda from parts of Punjab and the Union Territory of Chandigarh, India","S B; Bhatia, D Singh",Recent Researches in Geology,3,399-414,1977
Beitrag zur Kenntnis alpiner Leptoiuliden,W Bigler,Revue suisse de Zoologie,27,283-333,1919
"Two new species of Leporinus Agassiz (Characiformes: Anostomidae) from eastern basins of Brazil, and redescription of L. melanopleura Günther","J Birindelli, H Britski, J Garavello",Ichthyology,11,9-23,2013
"Description of a new species Pegosomum aftabi n.sp (Trematoda: Echinostomatidae) in little egret Egretta garzetta (Ciconiiformes: Ardeidae) of Larkano, Sindh, Pakistan","B Birmani, K Memon, S Bhatti, A Dharejo",Journal of Current Research,8,31082-31086,2016
"Two new species of crabs, <i>Notopocorystes</i> (<i>Eucorystes</i>) <i>eichhorni</i> and <i>Zygastrocarcinus griesi</i> (Decapoda: Brachyura) from the Bearpaw Shale (Campanian) of north-central Montana",G Bishop,<em>Journal of Paleontology,57,900-910,1983
"Tetracyclus hinziae (Bacillariophyta), a new species from the central Cascade Mountains (WA, USA)",", I Bishop, S Spaulding",,205,,2015
"Type and figured material from the 'Pliocene Bryozoa of the Low Countries' (Lagaaij, 1952) in the collection of the the Royal Belgian Institute of Natural Sciences",J Bishop,"Institut Royal des Sciences Naturelles de Belgique, Documents de Travail",37,1-36,1987
Ostracoda and Biostratigraphy,"H Bismuth, R Damotte, F Robaszynski",,,129-139,1995
World Association of Copepodologists: Second International Conference on Copepoda,T Björnberg,,,,1984-08
Some Albian (Cretaceous) asteroids (Echinodermata) from Texas and their paleobiological implications,"D Blake, R Reid",of Paleontology,72,512-532,1998
Light's Manual: Intertidal Invertebrates of the Central California Coast,J Blake,,,151-243,1975
Fine Structure of Sense Organs in the Mid-region of Xiphinema diversicaudatum Females,"T Bleve-Zacheo, M Melillo, L Daddabbo, G Zacheo",Nematologica,39,496-504,1993
Britisch millipedes (Diplopoda). With Keys to the species,J Blower,The Linnean Soc. of London. Synopses of the British Fauna,11,1-74,1958
"The segmental origin of the appendages of the head and anterior body segments of a spiroboloid milliped, Narceus annularis",M Bodine,Journal of Morphology,132,47-68,1970
Yavleniya simbioza u siluriyskikh i devonskikh tabulyat i stromatoporoidey Urala. [Symbiosis phenomena among Silurian and Devonian Tabulata and Stromatoporoidea of the Urals]. Rugozy i stromatoporoidei paleozoya SSSR. Trudy 2. Vsesoyuznogo simpoziuma po izucheniyu iskopaemykh korallov SSSR,", O Bogoyavlenskaya, F Yanet",,2,,1971
"/i> n.g. pro <i>Rossia</i> (<i>Allorossia</i>) <i>caroli</i> Joubin, 1902, with remarks on the generic status of <i>Semirossia</i> Steenstrup, 1887 (Mollusca: Cephalopoda)",S Boletzky,Marine Science,21,964-969,1971
"Notes on a collection of fishes from the Escambia River, with description of a new species of Zygonectes (Zygonectes escambiae)",C Bollman,of the United States National Museum,,462-465,1887
Distribution of recent foraminifera of the South American region,", E Boltovskoy",,,171-236,1976
"<i>Crassispira (Crassispirella) tuckeri</i>, new species from Somalia, eastern Africa","A Bonfitto, M Morassi",The Veliger,47,157-160,2004
Die Orientierung der Schalen der paläozoischen Ostracoden,J Bonnema,Z.Geschiebeforsch,9,23-42,1933
Ostracoden aus der Kreide des Untergrundes der nordoestlichen Niederlande. Teile 1 bis 8,J Bonnema,Naturhistorisch Maandblad,30,60-72,1940
A revised classification of the Gelidiellaceae (Rhodophyta) with descriptions of three new genera: <I>Huismaniella<,", G Boo, T Van Nguyen, J Kim, L Gall, J Rico, A Bottalico, S Boo",,,965-979,2016
Prilozi za poznavanie faune Balkan. Poluostrva. IV. Sriske diaptomide,Z Bordjewic,Beiträge zur Kenntnis der Fauna der balkan. Halbinsel. IV.) Glas Sriske Akad,73,77-115,1906
"Niphatrogleuma wildbergeri Mauries,1986: avant-premier etatdes lieux [Niphatrogleuma wildbergeri Mauries,1986: vorläufiger Stand der Funorte",M Borreguero,Stalactite,49,43-46,1999
"Description of three new species of Pelecypoda dredged off the coast of Natal, South Africa",P Boshoff,<em>Transactions of the Royal Society of South Africa,38,95-98,1968
Sulla presenza di Loculicytheretta pavonia (Brady) nel Pliocene della Toscana,A Bossio,Bollettino della Societa Paleontologica Italiana,31,265-267,1992
"Populations of Plectus acuminatus Bastian, 1865 and Panagrolaimus magnivulvatus n. sp. (Nematoda) from nunatakks in Dronning Maud Land, East Antarctica",S Boström,<em>Fundamental and Applied Nematology,18,25-34,1995
Zooplancton et micronecton estivaux des deux cent premiers mètres en Méditerranée occidentale,"J Boucher, A Thiriot",Marine Biology,15,1-6,1972
"Biostratigraphic and Geological Significance of Planktonic Foraminifera, Second Edition",", M Boudagher-Fadel",,,1-306,2015
"Revised Morphological Relationships Within the Amphipod Genera Pontoporeia and Gammaracanthus and the ""Glacial Relict"" Significance of their Postglacial Distributions",E Bousfield,Journal of Fisheries and Aquatic Sciences,46,1714-1725,1989
"Thermosphaeroma millery and T. smithi, new Shaeromatid Isopod Crustaceans from hot springs in Chihuahua, Mexico, with a review of the genus",T Bowman,Journal of Crustacean Biology,1,105-122,1981
The genitalia of Acanthinula aculeata,A Boycott,Proceedings of the Malacological Society of London,12,221-226,1917-08-22
"adamii</i> sp. n. (Gastropoda, Strombidae) dalle Filippine","L Bozzetti, T Cossignani",<i>Malacologia Mostra Mondiale<,40,3-5,2003-10
"A new species of Cardicola Short, 1953 (Digenea: Sanguinicolidae) parasitizing the Brazilian flathead, Percophis brasiliensis Quoy et Gaimard 1824, from the coasts of Mar del Plata, Argentina","P Braicovich, J Etchegoin, J Timi, N Sardella",<em>Parasitology International,55,175-177,2006
Trophic relationships of selected benthic marine invertebrates and foraminifera in Antarctica,T Brand,Antarctic Journal of the United States,11,24-26,1976
New species of Mexican plants,", T Brandegee",,,244-262,1908
Biology of the microsporidan parasite Pleistophora crangoni n. sp. in three species of crangonid sand shrimps,"G Breed, R Olson",Journal of Invertebrate Pathology,30,387-405,1977
Population growth of microcrustaceans in water from habitats with differing salinities,", C Breen, A Cahill",,9,1-120,2021-11
Ecotoxicological assessment of chemicals by subchronic and chronic tests with copepods,", M Breitholtz",,,,2002
Eine neue Art der marinen Turbellariengattung Polycystis (Macrorhynchus) aus dem Süßwasser,E Bresslau,Anz,30,415-422,1906
"Molluscan and Brachipod dominated biofacies in the Platteville Formation Middle Ordovician Upper Mississippi Valley, USA","P W; Bretsky, S S; Bretsky, P Schäfer",Bulletin of the Geological Society of Denmark,26,115-132,1977
Descrizione di un nuovo genere di isopodo terrestre troglobio raccolto dal Prof. Silvestri in una grotta di Cuba. <em>Bollettino del Laboratorio di,A Brian,Zoologia Generale e Agraria del R. Instituto Superiore Agrario in Portici,22,188-195,1929
"Permo-Triassic arthropod trace fossils from the Beardmore Glacier area, central Transantarctic Mountains, Antarctica","Derek Briggs, Molly Miller, John Isbell, Christian Sidor",Antarctic Science,22,185-192,2010
Studies in Australian athecate hydroids. No. 1. Two new species of the genus Myriothela,E Briggs,Rec. Aust. Mus,16,305-315,1928
Phylogeny and Evolution of the Brown Algae,"T Bringloe, S Starko, R Wade, C Vieira, H Kawai, O De Clerck, J Cock, S Coelho, C Destombe, M Valero, J Neiva, G Pearson, S Faugeron, E Serrão, H Verbruggen",<em>Critical Reviews in Plant Sciences,39,281-321,2020
Minnetale over Amanuensis Gudrun Ruud,Hjalmar Broch,Fauna,2,33-40,1959
Taxonomic review of living planktonic foraminifera,"G.-J Brummer, M Kučera",of Micropaleontology,41,29-74,2022
A monograph on the Isopoda Cymothoidae (Crustacea) of the eastern Pacific,R Brusca,Zoological Journal of the Linnean Society,73,117-199,1981
A Problem in Polyzoan Nomenclature,R Brydone,Geological Magazine,78,236-238,1941
"Description of Neoechinorhynchus carinatus n. sp. (Acanthocephala: Neoechinorhynchidae) from the Sharpfin Chubsucker, Erimyzon tenuis, of Louisiana and Mississippi","R Buckner, S Buckner",Journal of Parasitology,79,,1993
"Morphological comparison of bleaks (Alburnus, Cyprinidae) from the Adriatic Basin with the description of a new species","I Buj, J Vukic, R Sanda, S Perea, M Caleta, Z Marcic, I Bogut, M Povz, M Mrakovcic",Zoologica,59,129-141,2010
,,Bull. Soc. Roy. Bot. Belgique,31,,
"The association of <i>Glacidorbis occidentalis</i> Bunn and Stoddard, 1983 (Gastropoda: Glacidorbidae) with intermittently-flowing, forest streams in south-western Australia","S Bunn, P Davies, D Edward",of the Malacological Society of Australia,,25-34,1989
"Rhopalobdella japonica n. gen., n. sp. (Hirudinea, Piscicolidae) from Dasyatis akajei (Chondrichthyes: Dasyatididae)in the northwestern Pacific","E Burreson, G Kearn",Journal of Parasitology,86,696-699,2000
Intertidal Macroalgae as Refuge and Food for Amphipoda in Central Chile,A Buschmann,Aquatic Botany,36,237-245,1990
"Beitrag zur Kenntnis der Verbreitung der Diplopoden, Symphylen und Chilopoden in Westsachsen",K Büttner,Abhandlungen und Berichte des Naturkundemuseums Görlitz,38,1-7,1963
Isopodes nouveaux (Isop. terrestria) des grottes de Macédonie,A Buturović,Musei Macedonici Scientiarum Naturalium,1,233-254,1954
"Biodiversity Keeping in the Baikal Region: Problems, Approaches, Practice","V Buyantuyev, N Sheveleva, N Rozhkova, T Evstigneeva",,,152-154,1996
"Trematodes of fresh-water snakes of Mexico. II. A new species of Trematoda Digenea from the oesophagus of a snake from Rio San Juan, Nuevo Leon, Mexico",", C Caballero, C Briseno",,,395-398,1970
"Morphologie, biologie et écologie des Copépodes parasites du Loup, Dicentrarchus labrax (Linné, 1758) et du Sar rayé Diplodus sargus (Linné, 1758) de la région languedocienne. Thèse de 3ème Cycle",", P Cabral",,II,1-221,1983
An approach to the distribution and environmental characteristics of microfaunas in surface sediments in the South China Sea,"H Cai, M ; Chen",Acta Micropalaeontologica Sinica,4,73-86,1987
Ecologic and Hydrographic Studies of Elkhorn Slough,"G Cailliet, B Antrim, D Ambrose, S Pace, M Stevenson",,,216-386,1974-06
"On the genus <i>Fusinus</i> in Japan IV: <i>F. longissimus</i> (Gmelin, 1791) and two new species",", P Callomon, M Snyder",,,1-13,2008
"<i>Moitessieria boetersi</i>, nouvelle espèce cavernicole pour la malacofaune française, dabns les ruisseaux souterrains d'Amiel et de Cabéou à Penne, Tarn, France. (1ère parie). Résultats d'investigation des milieux karstiques, phréatiques et cavernicoles du Sud-Ouest",H Callot-Girardi,Mollusca: Caenogastropoda: Moitessieridae; Hydrobiidae: Islamiinae: Amnicolidae),,30-43,2015
X. Protistologica LXXIV - Un Foraminifère géant <i>Bathysiphon filiformis</i> G.-O. Sars,J Calvez,<em>Archives de Zoologie Expérimentale et Générale,79,82-88,1938
Systematic revision of Sabellariidae (Polychaeta) and their relationships with other polychaetes using morphological and DNA sequence data,"Maria Capa, Pat Hutchings, Rachael Peart",Zoological Journal of the Linnean Society,164,245-284,2012
"Feeding, Food Preference, and the Uptake of Food Energy by the Supralittoral Isopod Ligia pallasii",T Carefoot,Marine Biology,18,228-236,1973
Zur Kenntnis der Minyaden,O Carlgren,Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar,1894,19-24,1894
"A survey of the Ptychodactiaria, Corallimorpharia and Actiniaria",O Carlgren,Svenska Vet- enskapsakadamiens Handlingar,1,1-121,1949
Stimulation of metamorphosis in the polychaete Hydroides elegans Haswell (Serpulidae),"Eugenio Carpizo-Ituarte, G Michael","Biological Bulletin.Marine Biological Laboratory, Woods Hole",194,14-24,1998
Green sea turtles in peril,A Carr,National Parks & Conservation Magazine,,,1970-04
The genus Achnanthes as it occurs in British fresh waters,J Carter,"Microscope, Diatom Notes",,320-326,1961
Parásitos estresantes amenazan salmons en cultivo. [Stressful parasites threaten farmed salmon,"J Carvajal, J Uribe, M Vial",Creces,6,20-22,1991
"A new species Odontostilbe (Teleostei, Characidae) from the Uruguay Basin, with comments on the diagnostic characters of the genus","J Casciotta, A Miquelarena, L Protogino","Papers of the Museum of Natural History, The University of Kansas",,1-16,1992
Trabalho de Conclusão de Curso,L Castelar,,,,2004
"Revised description of a poorly known Mediterranean Dictyoceratid bath sponge, <i>Spongia (Spongia) zimocca</i> (Schmidt, 1862) (Porifera: Demospongiae: Dictyoceratida)",", J Castritsi-Catharios, R Van Soest, E Kefalas, J Vacelet",,2812,41-62,2011
Five new species of Mitridae from the Indian and Pacific Oceans,J Cate,Veliger,11,85-89,1968
Sur les Metchnikovellidae et autres Protistes parasites des Grégarines d'Annélides,"M Caullery, F Mesnil",R. Soc. BioZ,12,527-532,1914
11th International Congress of Myriapodology,,,42,1-67,1999-07-20
"A new finding of <i>Septifer forskali</i> Dunker, 1855 (Bivalvia: Mytilidae) from the Northeastern Mediterranean Sea, Turkey, with discussion on the occurrence of <i>Septifer bilocularis</i> (Linné, 1758) in the Red Sea and the Mediterranean Sea",D Çeviker,Conchiglia,305,,2002
